     tf4ddd8 |C2013 01 05.25565208 06 31.771+05 59 11.94         22.38rV     W84
     tf4ddd8 |C2013 01 05.26614508 06 31.293+05 59 18.94         22.62rV     W84
     tf4ddd8 |C2013 01 05.27650408 06 30.834+05 59 25.54         23.00rV     W84
     tf4ddd8 |C2013 01 05.28709908 06 30.359+05 59 32.59         22.51rV     W84
     tf4ddd8 |C2013 01 06.27605108 05 48.772+06 10 26.70         22.55rV     W84
     tf4ddd8 |C2013 01 06.29701908 05 47.847+06 10 40.80         22.89rV     W84
     tf4ddd8 |C2013 01 07.25058508 05 07.010+06 21 25.99         22.99rV     W84
     tf4ddd8 |C2013 01 07.27133108 05 06.050+06 21 39.94         23.56rV     W84
     tf4ddd8 |C2013 01 07.28178308 05 05.568+06 21 47.16         23.13rV     W84


     tf4ddd8 |C2013 01 07.28178308 05 05.568+06 21 47.16         23.13rV     W84
