     tf56a21 |C2013 06 08.21275515 20 32.976+02 13 00.16         22.63rV     W84
     tf56a21 |C2013 06 08.21391815 20 32.938+02 12 59.63         22.13rV     W84
     tf56a21 |C2013 06 08.99119515 20 05.308+02 09 01.32         22.35rV     W84
     tf56a21 |C2013 06 09.10650715 20 01.037+02 08 26.05         21.11iV     W84
     tf56a21 |C2013 06 09.10694515 20 01.044+02 08 25.48         21.01iV     W84
     tf56a21 |C2013 06 09.19540715 19 57.791+02 07 57.81         22.04iV     W84
     tf56a21 |C2013 06 09.24644915 19 55.906+02 07 41.82         22.52rV     W84
     tf56a21 |C2013 06 09.24713515 19 55.890+02 07 41.57         22.20rV     W84
     tf56a21 |C2013 06 10.06256615 19 27.755+02 03 23.64         22.74rV     W84
     tf56a21 |C2013 06 10.07001315 19 27.484+02 03 21.12         22.48rV     W84


     tf56a21 |C2013 06 10.07001315 19 27.484+02 03 21.12         22.48rV     W84
