     tf70cd2 |C2015 01 21.24783309 07 20.801-02 25 11.05         23.01gV     W84
     tf70cd2 |C2015 01 21.29678709 07 18.495-02 24 59.74         23.29gV     W84
     tf70cd2 |C2015 01 21.31393509 07 17.673-02 24 55.95         22.98gV     W84
     tf70cd2 |C2015 01 21.32900409 07 16.957-02 24 52.47         23.56gV     W84
     tf70cd2 |C2015 01 21.34873809 07 16.018-02 24 47.69         22.72gV     W84
     tf70cd2 |C2015 01 21.36963709 07 15.047-02 24 42.88         22.95gV     W84
     tf70cd2 |C2015 01 23.20843609 05 50.836-02 17 10.13         22.87gV     W84
     tf70cd2 |C2015 01 23.25727409 05 48.455-02 16 57.34         22.94gV     W84
     tf70cd2 |C2015 01 23.31107609 05 45.815-02 16 43.25         22.89gV     W84
     tf70cd2 |C2015 01 23.32676609 05 45.037-02 16 38.91         23.48gV     W84
     tf70cd2 |C2015 01 23.34583009 05 44.114-02 16 33.92         23.08gV     W84
     tf70cd2 |C2015 01 23.36611009 05 43.146-02 16 28.53         23.36gV     W84
     tf70cd2 |C2015 01 24.21116509 05 03.645-02 12 38.51         23.10gV     W84
     tf70cd2 |C2015 01 24.23595809 05 02.404-02 12 31.58         22.78gV     W84
     tf70cd2 |C2015 01 24.27246609 05 00.612-02 12 21.57         23.07gV     W84
     tf70cd2 |C2015 01 24.30752309 04 58.862-02 12 11.38         22.96gV     W84
     tf70cd2 |C2015 01 24.32783309 04 57.843-02 12 05.96         23.39gV     W84
     tf70cd2 |C2015 01 24.35751409 04 56.390-02 11 57.57         22.12gV     W84
     tf70cd2 |C2015 01 25.23314509 04 14.823-02 07 44.39         23.00gV     W84
     tf70cd2 |C2015 01 25.27580709 04 12.679-02 07 31.72         23.09gV     W84
     tf70cd2 |C2015 01 25.31398909 04 10.745-02 07 20.44         23.09gV     W84
     tf70cd2 |C2015 01 25.33757509 04 09.564-02 07 13.42         23.04gV     W84
     tf70cd2 |C2015 01 25.35325709 04 08.795-02 07 08.72         23.06gV     W84
     tf70cd2 |C2015 01 25.36557409 04 08.189-02 07 05.10         23.31gV     W84


     t038d6c |C2015 01 25.36669009 00 39.271-01 50 08.98         22.20gV     W84
     t038d6c |C2015 01 25.36892709 00 39.171-01 50 07.81         22.30gV     W84
     t038d6c |C2015 01 25.37004109 00 39.107-01 50 07.33         21.90gV     W84
     t038d6c |C2015 01 25.37116509 00 39.046-01 50 06.67         22.36gV     W84
     t038d6c |C2015 01 25.37228009 00 38.997-01 50 06.10         22.66gV     W84
     t038d6c |C2015 01 25.37458609 00 38.887-01 50 05.15         22.18gV     W84
     tf70cd2 |C2015 01 25.36557409 04 08.189-02 07 05.10         23.31gV     W84
     t038d6c |C2015 01 25.36669009 00 39.271-01 50 08.98         22.20gV     W84
     t038d6c |C2015 01 25.36892709 00 39.171-01 50 07.81         22.30gV     W84
     t038d6c |C2015 01 25.37004109 00 39.107-01 50 07.33         21.90gV     W84
     t038d6c |C2015 01 25.37116509 00 39.046-01 50 06.67         22.36gV     W84
     t038d6c |C2015 01 25.37228009 00 38.997-01 50 06.10         22.66gV     W84
     t038d6c |C2015 01 25.37458609 00 38.887-01 50 05.15         22.18gV     W84
     t5d298e |C2015 01 25.36892709 01 38.266-01 47 51.35         22.89gV     W84
     t038d6c |C2015 01 25.36669009 00 39.271-01 50 08.98         22.20gV     W84
     t038d6c |C2015 01 25.36892709 00 39.171-01 50 07.81         22.30gV     W84
     t038d6c |C2015 01 25.37004109 00 39.107-01 50 07.33         21.90gV     W84
     t038d6c |C2015 01 25.37116509 00 39.046-01 50 06.67         22.36gV     W84
     t038d6c |C2015 01 25.37228009 00 38.997-01 50 06.10         22.66gV     W84
     t038d6c |C2015 01 25.37458609 00 38.887-01 50 05.15         22.18gV     W84
     t5d298e |C2015 01 25.36892709 01 38.266-01 47 51.35         22.89gV     W84
