     tfc16e9 |C2015 01 20.20685709 06 05.227-02 54 23.51         23.78gV     W84
     tfc16e9 |C2015 01 20.23408509 06 03.810-02 54 25.49         23.67gV     W84
     tfc16e9 |C2015 01 20.24395409 06 03.287-02 54 26.49         23.51gV     W84
     tfc16e9 |C2015 01 20.31015109 05 59.805-02 54 31.29         23.30gV     W84
     tfc16e9 |C2015 01 20.31514109 05 59.553-02 54 31.80         23.82gV     W84
     tfc16e9 |C2015 01 20.33301509 05 58.610-02 54 33.06         23.78gV     W84
     tfc16e9 |C2015 01 21.20796509 05 14.226-02 55 31.25         23.15gV     W84
     tfc16e9 |C2015 01 21.23577209 05 12.740-02 55 32.93         23.38gV     W84
     tfc16e9 |C2015 01 21.27327209 05 10.727-02 55 35.13         23.08gV     W84
     tfc16e9 |C2015 01 21.31023509 05 08.754-02 55 37.40         23.35gV     W84
     tfc16e9 |C2015 01 21.34022109 05 07.162-02 55 38.87         23.12gV     W84
     tfc16e9 |C2015 01 21.36593509 05 05.770-02 55 40.56         23.07gV     W84
     tfc16e9 |C2015 01 22.25065109 04 20.045-02 56 25.75         23.80gV     W84
     tfc16e9 |C2015 01 22.25291109 04 19.915-02 56 25.94         23.45gV     W84
     tfc16e9 |C2015 01 22.27029509 04 18.990-02 56 26.53         23.48gV     W84
     tfc16e9 |C2015 01 23.21255209 03 29.431-02 57 01.74         22.99gV     W84
     tfc16e9 |C2015 01 23.27401409 03 26.024-02 57 03.75         23.21gV     W84
     tfc16e9 |C2015 01 23.30208409 03 24.489-02 57 04.50         23.17gV     W84
     tfc16e9 |C2015 01 23.34024309 03 22.396-02 57 05.55         23.16gV     W84
     tfc16e9 |C2015 01 23.35366309 03 21.650-02 57 06.23         23.58gV     W84
     tfc16e9 |C2015 01 23.36488609 03 21.038-02 57 06.21         23.45gV     W84
     tfc16e9 |C2015 01 24.20626509 02 36.319-02 57 24.78         23.24gV     W84
     tfc16e9 |C2015 01 24.21228409 02 36.000-02 57 25.01         22.97gV     W84
     tfc16e9 |C2015 01 24.21899509 02 35.627-02 57 24.81         23.27gV     W84
     tfc16e9 |C2015 01 24.22585409 02 35.228-02 57 25.20         23.63gV     W84
     tfc16e9 |C2015 01 24.23819609 02 34.543-02 57 25.32         23.46gV     W84
     tfc16e9 |C2015 01 24.28538609 02 31.911-02 57 26.05         23.89gV     W84
     tfc16e9 |C2015 01 25.22077409 01 41.362-02 57 33.07         23.30gV     W84
     tfc16e9 |C2015 01 25.27918809 01 38.056-02 57 33.08         23.43gV     W84
     tfc16e9 |C2015 01 25.30502109 01 36.595-02 57 33.03         23.27gV     W84
     tfc16e9 |C2015 01 25.32632809 01 35.396-02 57 32.98         23.31gV     W84
     tfc16e9 |C2015 01 25.34430809 01 34.389-02 57 33.02         23.38gV     W84
     tfc16e9 |C2015 01 25.36669009 01 33.126-02 57 32.89         22.90gV     W84


     tfc16e9 |C2015 01 25.36669009 01 33.126-02 57 32.89         22.90gV     W84
