     tff77dd |C2015 01 18.20955209 05 18.210-02 57 17.42         22.93gV     W84
     tff77dd |C2015 01 18.24658009 05 16.195-02 57 15.45         22.20gV     W84
     tff77dd |C2015 01 18.26794909 05 15.025-02 57 14.82         23.05gV     W84
     tff77dd |C2015 01 18.30626109 05 12.939-02 57 13.17         23.03gV     W84
     tff77dd |C2015 01 18.33653309 05 11.285-02 57 11.82         23.16gV     W84
     tff77dd |C2015 01 18.36124209 05 09.951-02 57 10.62         23.12gV     W84
     tff77dd |C2015 01 19.22187109 04 24.484-02 56 25.49         23.26gV     W84
     tff77dd |C2015 01 19.28133509 04 21.194-02 56 22.01         23.17gV     W84
     tff77dd |C2015 01 19.30040309 04 20.139-02 56 21.00         22.84gV     W84
     tff77dd |C2015 01 19.33179509 04 18.408-02 56 19.08         22.93gV     W84
     tff77dd |C2015 01 19.34863909 04 17.487-02 56 18.04         23.23gV     W84
     tff77dd |C2015 01 19.36653609 04 16.491-02 56 16.94         23.24gV     W84
     tff77dd |C2015 01 20.20685709 03 31.607-02 55 21.08         23.03gV     W84
     tff77dd |C2015 01 20.23655609 03 29.949-02 55 18.94         23.24gV     W84
     tff77dd |C2015 01 20.26438909 03 28.393-02 55 16.86         22.70gV     W84
     tff77dd |C2015 01 20.29405609 03 26.735-02 55 14.79         23.40gV     W84
     tff77dd |C2015 01 20.33178009 03 24.635-02 55 12.03         22.88gV     W84
     tff77dd |C2015 01 20.36396109 03 22.846-02 55 09.42         23.41gV     W84
     tff77dd |C2015 01 21.22458609 02 36.307-02 54 00.32         23.24gV     W84
     tff77dd |C2015 01 21.24906209 02 34.921-02 53 58.00         22.84gV     W84
     tff77dd |C2015 01 21.29224609 02 32.482-02 53 54.50         23.18gV     W84
     tff77dd |C2015 01 21.31887509 02 30.987-02 53 52.13         22.89gV     W84
     tff77dd |C2015 01 21.34140809 02 29.713-02 53 50.05         23.29gV     W84
     tff77dd |C2015 01 21.36468209 02 28.411-02 53 47.98         22.83gV     W84
     tff77dd |C2015 01 23.21255209 00 46.849-02 50 41.00         23.23gV     W84
     tff77dd |C2015 01 23.26508109 00 43.838-02 50 35.09         22.78gV     W84
     tff77dd |C2015 01 23.29307709 00 42.228-02 50 31.82         23.27gV     W84
     tff77dd |C2015 01 23.32228109 00 40.567-02 50 28.57         22.82gV     W84
     tff77dd |C2015 01 23.34247609 00 39.417-02 50 25.91         23.18gV     W84
     tff77dd |C2015 01 23.36146909 00 38.328-02 50 23.74         23.18gV     W84
     tff77dd |C2015 01 24.20426708 59 51.645-02 48 41.50         23.11gV     W84
     tff77dd |C2015 01 24.24047308 59 49.551-02 48 36.89         23.30gV     W84
     tff77dd |C2015 01 24.27123708 59 47.789-02 48 33.06         22.82gV     W84
     tff77dd |C2015 01 24.32104008 59 44.921-02 48 26.61         22.65gV     W84
     tff77dd |C2015 01 24.34355708 59 43.611-02 48 23.66         23.03gV     W84
     tff77dd |C2015 01 24.36318608 59 42.494-02 48 20.86         23.26gV     W84


     t2f3bec |C2015 01 24.36442809 00 01.677-02 49 43.32         22.11gV     W84
     t2f3bec |C2015 01 24.36937909 00 01.212-02 49 46.87         22.71gV     W84
     t9eab7c |C2015 01 25.32408909 00 44.841-02 39 30.53         22.61gV     W84
     t9eab7c |C2015 01 25.33645809 00 44.183-02 39 32.29         22.68gV     W84
     t9eab7c |C2015 01 25.35102709 00 43.415-02 39 34.26         22.86gV     W84
     t9eab7c |C2015 01 25.35774209 00 43.061-02 39 35.36         22.92gV     W84
     t9eab7c |C2015 01 25.36445709 00 42.706-02 39 36.27         22.66gV     W84
     t9eab7c |C2015 01 25.36892709 00 42.476-02 39 36.80         22.47gV     W84
     tff77dd |C2015 01 24.36318608 59 42.494-02 48 20.86         23.26gV     W84
     t2f3bec |C2015 01 24.36442809 00 01.677-02 49 43.32         22.11gV     W84
     t2f3bec |C2015 01 24.36937909 00 01.212-02 49 46.87         22.71gV     W84
     t2f3bec |C2015 01 24.36442809 00 01.677-02 49 43.32         22.11gV     W84
     t2f3bec |C2015 01 24.36937909 00 01.212-02 49 46.87         22.71gV     W84
